# cosmological_parameters--omega_m	cosmological_parameters--h0	cosmological_parameters--omega_b	cosmological_parameters--n_s	cosmological_parameters--a_s	cosmological_parameters--omega_k	cosmological_parameters--tau	weight	post
# sampler=weighted_metropolis
4.006081000000000225e-01 5.934325999999999768e-01 6.410800689847687139e-02 9.732007000000000296e-01 2.249864999999999861e-09 -2.352659000000000000e-02 8.984345000000000525e-02 1.000000000000000000e+00 -5.635755000000000109e+03
4.370338999999999752e-01 5.705200000000000271e-01 6.913674067575478754e-02 9.734523999999999955e-01 2.094364000000000234e-09 -3.005829000000000140e-02 5.281508000000000036e-02 1.000000000000000000e+00 -5.635889000000000124e+03
4.064287999999999790e-01 5.852416999999999758e-01 6.620861440370409690e-02 9.710408000000000373e-01 2.124995000000000064e-09 -2.777993999999999949e-02 6.438415999999999584e-02 3.000000000000000000e+00 -5.636466000000000349e+03
5.979830999999999896e-01 4.748900999999999817e-01 1.024028814892802841e-01 9.871263000000000121e-01 2.129538999999999753e-09 -8.895182999999999562e-02 6.879929999999999379e-02 1.000000000000000000e+00 -5.638395000000000437e+03
4.357657999999999809e-01 5.669311999999999685e-01 7.141980527486271879e-02 9.707441999999999460e-01 2.214329999999999735e-09 -3.524105000000000293e-02 8.758285999999999849e-02 3.000000000000000000e+00 -5.642091999999999643e+03
3.348551000000000166e-01 6.501220999999999250e-01 5.291384661837857800e-02 9.730195999999999845e-01 2.133538999999999740e-09 -7.190733999999999841e-03 6.442046999999999357e-02 5.000000000000000000e+00 -5.638831000000000131e+03
5.609439000000000508e-01 4.983275999999999817e-01 9.076359672191619543e-02 9.743180999999999647e-01 2.010247000000000038e-09 -6.751638000000000084e-02 3.628668000000000171e-02 1.000000000000000000e+00 -5.635725999999999658e+03
4.994858999999999827e-01 5.385376000000000607e-01 7.509645451708396591e-02 9.593367000000000422e-01 2.069045999999999971e-09 -3.844361000000000306e-02 4.041942999999999925e-02 2.000000000000000000e+00 -5.638908000000000357e+03
5.707236999999999449e-01 4.936156999999999906e-01 9.310518615608008586e-02 9.731379999999999475e-01 2.041557000000000005e-09 -7.055723999999999330e-02 4.567144000000000065e-02 1.000000000000000000e+00 -5.633912000000000262e+03
4.412346999999999797e-01 5.597777999999999921e-01 7.241568265650738523e-02 9.759716000000000502e-01 2.042764000000000123e-09 -3.888292000000000137e-02 5.046351999999999782e-02 5.000000000000000000e+00 -5.637212999999999738e+03
3.987185999999999786e-01 5.963623000000000118e-01 6.286480016413301120e-02 9.716205999999999454e-01 2.213443999999999786e-09 -2.096730000000000121e-02 8.541284999999999850e-02 9.000000000000000000e+00 -5.635819999999999709e+03
4.212279999999999913e-01 5.726440000000000419e-01 6.971800979804913811e-02 9.772977000000000469e-01 2.271750000000000143e-09 -3.424404999999999810e-02 1.037504000000000065e-01 2.000000000000000000e+00 -5.637359999999999673e+03
6.041338000000000541e-01 4.819213999999999998e-01 9.837026285031560957e-02 9.706491000000000424e-01 1.979406999999999759e-09 -7.872466999999999659e-02 2.795241999999999866e-02 1.000000000000000000e+00 -5.642257999999999811e+03
4.334088999999999858e-01 5.727172999999999847e-01 6.802708131956909654e-02 9.674793999999999894e-01 2.134398000000000181e-09 -2.903524000000000035e-02 6.460580000000000489e-02 6.000000000000000000e+00 -5.632384000000000015e+03
7.047723999999999656e-01 4.475952000000000264e-01 1.139359254495285328e-01 9.740805999999999631e-01 1.974591999999999709e-09 -1.035134999999999944e-01 2.927445999999999868e-02 3.000000000000000000e+00 -5.635020999999999731e+03
4.401168999999999776e-01 5.619751000000000607e-01 7.191262970747790140e-02 9.774502000000000468e-01 2.256895999999999896e-09 -3.688282999999999839e-02 9.191842999999999542e-02 9.000000000000000000e+00 -5.632414999999999964e+03
5.838063000000000002e-01 4.890258999999999578e-01 9.398873032320285981e-02 9.733368999999999494e-01 2.039468999999999877e-09 -7.215684999999999460e-02 4.222424999999999790e-02 3.000000000000000000e+00 -5.640907000000000153e+03
5.137766000000000277e-01 5.279907000000000350e-01 7.953989876950767757e-02 9.676069000000000475e-01 2.092452000000000376e-09 -4.647062999999999888e-02 4.871372999999999676e-02 1.000000000000000000e+00 -5.637904999999999745e+03
5.368106000000000266e-01 5.098998999999999615e-01 8.908471678248049141e-02 9.771933000000000424e-01 2.057267000000000150e-09 -6.298007999999999384e-02 5.130202999999999847e-02 1.000000000000000000e+00 -5.642480999999999767e+03
4.863541000000000114e-01 5.322143999999999764e-01 7.990809106383058025e-02 9.817167999999999450e-01 2.064245000000000248e-09 -5.083233000000000196e-02 5.558671999999999919e-02 5.000000000000000000e+00 -5.638399000000000342e+03
3.913806000000000229e-01 5.909545999999999966e-01 6.576650055116223248e-02 9.885317000000000132e-01 2.401564000000000166e-09 -2.959739000000000120e-02 1.268043000000000087e-01 1.000000000000000000e+00 -5.644257999999999811e+03
6.323598000000000274e-01 4.714232999999999896e-01 1.007669513908298065e-01 9.757306000000000035e-01 2.062644000000000265e-09 -8.283551000000000109e-02 5.075004999999999794e-02 3.000000000000000000e+00 -5.635926999999999680e+03
4.277638999999999747e-01 5.798706000000000138e-01 6.735439666037468243e-02 9.674783000000000133e-01 2.149234999999999972e-09 -2.602497000000000144e-02 6.720428999999999986e-02 2.000000000000000000e+00 -5.638194999999999709e+03
4.090173999999999754e-01 5.880005000000000370e-01 6.596939125474757248e-02 9.754850000000000465e-01 2.175374000000000144e-09 -2.601018000000000080e-02 7.022030999999999412e-02 4.000000000000000000e+00 -5.643078000000000429e+03
3.978710999999999776e-01 6.016356999999999955e-01 6.188462447357996610e-02 9.651870999999999645e-01 2.265844000000000142e-09 -1.767996999999999971e-02 8.713827000000000378e-02 1.000000000000000000e+00 -5.640456000000000131e+03
3.413189999999999835e-01 6.423095999999999250e-01 5.452690891895537600e-02 9.750200999999999452e-01 2.246714999999999929e-09 -9.135334999999999636e-03 9.003817000000000070e-02 4.000000000000000000e+00 -5.635238000000000284e+03
6.135671999999999793e-01 4.818970000000000198e-01 9.704940169589058863e-02 9.696291999999999689e-01 2.019566999999999753e-09 -7.627467999999999748e-02 3.238329000000000207e-02 1.000000000000000000e+00 -5.640555000000000291e+03
7.284110999999999780e-01 4.473998999999999615e-01 1.132234949061332457e-01 9.684901999999999678e-01 2.000405000000000187e-09 -9.818153000000000297e-02 2.839952999999999922e-02 2.000000000000000000e+00 -5.640944999999999709e+03
5.217528999999999639e-01 5.157348999999999961e-01 8.578267783964324544e-02 9.816097000000000294e-01 2.275018000000000053e-09 -5.951899000000000078e-02 1.002897999999999984e-01 2.000000000000000000e+00 -5.640469000000000051e+03
4.746698999999999780e-01 5.493529999999999802e-01 7.382061895051771072e-02 9.674101999999999979e-01 2.173809000000000057e-09 -3.731109999999999982e-02 7.400660000000000571e-02 1.000000000000000000e+00 -5.636690999999999804e+03
4.489401000000000086e-01 5.613403000000000143e-01 7.124855941108527990e-02 9.680929000000000340e-01 2.005123000000000335e-09 -3.422810999999999909e-02 3.636970999999999954e-02 1.000000000000000000e+00 -5.634938000000000102e+03
2.862583000000000211e-01 7.060302999999999995e-01 4.449122146981793896e-02 9.651853000000000238e-01 2.264372999999999828e-09 6.555529000000000044e-03 9.290946999999999401e-02 1.000000000000000000e+00 -5.642095000000000255e+03
4.155042999999999931e-01 5.813599000000000405e-01 6.635683838761316511e-02 9.716605000000000381e-01 2.144569999999999761e-09 -2.725262000000000170e-02 7.148548999999999876e-02 3.000000000000000000e+00 -5.633710000000000036e+03
5.478484999999999605e-01 5.078735000000000888e-01 8.678530366733991364e-02 9.706850999999999674e-01 2.278063999999999920e-09 -5.925145999999999885e-02 9.507414999999999616e-02 2.000000000000000000e+00 -5.645192000000000007e+03
5.943359000000000281e-01 4.896606000000000014e-01 9.324449603190590463e-02 9.682328999999999519e-01 2.177796999999999940e-09 -6.848640999999999757e-02 6.944221000000000421e-02 1.000000000000000000e+00 -5.643340000000000146e+03
