#cosmological_parameters--omega_m  cosmological_parameters--hubble cosmological_parameters--ombh2 cosmological_parameters--tau cosmological_parameters--n_s cosmological_parameters--A_s like
3.282634E-01 6.637939E+01 2.215905E-02 7.756536E-02 9.563292E-01 2.21996e-09 6.483371E+03
3.088045E-01 6.784424E+01 2.244542E-02 1.143396E-01 9.692313E-01 2.35733e-09 6.483226E+03
3.011150E-01 6.839111E+01 2.250574E-02 8.601371E-02 9.756621E-01 2.22463e-09 6.482729E+03
3.107500E-01 6.760986E+01 2.229493E-02 7.329286E-02 9.663812E-01 2.15924e-09 6.482837E+03
3.096623E-01 6.762451E+01 2.223745E-02 9.205102E-02 9.643168E-01 2.26166e-09 6.484527E+03
3.120251E-01 6.760498E+01 2.248254E-02 8.437940E-02 9.606899E-01 2.24082e-09 6.490212E+03
3.038918E-01 6.817627E+01 2.260035E-02 1.035008E-01 9.693956E-01 2.29397e-09 6.485012E+03
3.258662E-01 6.649170E+01 2.212347E-02 9.169536E-02 9.592830E-01 2.28174e-09 6.493384E+03
3.032261E-01 6.819092E+01 2.236370E-02 8.969344E-02 9.716004E-01 2.21671e-09 6.489896E+03
3.081795E-01 6.768311E+01 2.216930E-02 9.104361E-02 9.688839E-01 2.24765e-09 6.484120E+03
3.009836E-01 6.831787E+01 2.232363E-02 9.196539E-02 9.674520E-01 2.25203e-09 6.482006E+03
2.980512E-01 6.858154E+01 2.254040E-02 1.232672E-01 9.750481E-01 2.37682e-09 6.486307E+03
3.150125E-01 6.723877E+01 2.234163E-02 1.042456E-01 9.645137E-01 2.30228e-09 6.487774E+03
3.141217E-01 6.740479E+01 2.231934E-02 9.087434E-02 9.641652E-01 2.2414e-09 6.483674E+03
3.106248E-01 6.763916E+01 2.233564E-02 9.483263E-02 9.707968E-01 2.27606e-09 6.482680E+03
2.987983E-01 6.859131E+01 2.269837E-02 1.076777E-01 9.678297E-01 2.32199e-09 6.486433E+03
3.029188E-01 6.822510E+01 2.242475E-02 9.553463E-02 9.651389E-01 2.27428e-09 6.488875E+03
3.095415E-01 6.768311E+01 2.226771E-02 1.038422E-01 9.730584E-01 2.27796e-09 6.482206E+03
3.255032E-01 6.642334E+01 2.198255E-02 8.408352E-02 9.619831E-01 2.21733e-09 6.487730E+03
3.315016E-01 6.612549E+01 2.202000E-02 6.879614E-02 9.588986E-01 2.15726e-09 6.490605E+03
3.257792E-01 6.646240E+01 2.194111E-02 4.949698E-02 9.601240E-01 2.10023e-09 6.488788E+03
3.022202E-01 6.823486E+01 2.237354E-02 1.083627E-01 9.717320E-01 2.34005e-09 6.485159E+03
3.093292E-01 6.764404E+01 2.223185E-02 1.007036E-01 9.658497E-01 2.27874e-09 6.490576E+03
3.046030E-01 6.800049E+01 2.234225E-02 1.185987E-01 9.721457E-01 2.37334e-09 6.485308E+03
3.109117E-01 6.769287E+01 2.250791E-02 7.898667E-02 9.667037E-01 2.20073e-09 6.478009E+03
3.115940E-01 6.754150E+01 2.234790E-02 8.578100E-02 9.676419E-01 2.23394e-09 6.485036E+03
3.089713E-01 6.759521E+01 2.212100E-02 7.380095E-02 9.654541E-01 2.18428e-09 6.485947E+03
3.099132E-01 6.783447E+01 2.256948E-02 1.052164E-01 9.636574E-01 2.32054e-09 6.484474E+03
3.243793E-01 6.671631E+01 2.231108E-02 8.260708E-02 9.595036E-01 2.214e-09 6.486300E+03
3.106330E-01 6.761963E+01 2.230323E-02 7.842465E-02 9.668299E-01 2.18578e-09 6.481871E+03
3.096366E-01 6.765381E+01 2.231260E-02 6.336933E-02 9.639914E-01 2.14172e-09 6.485464E+03
3.202039E-01 6.675049E+01 2.190557E-02 6.557641E-02 9.584837E-01 2.14889e-09 6.491855E+03
3.191653E-01 6.697510E+01 2.206892E-02 7.258196E-02 9.674096E-01 2.17324e-09 6.485358E+03
3.189265E-01 6.714111E+01 2.238633E-02 3.792069E-02 9.613689E-01 2.0341e-09 6.479774E+03
3.114735E-01 6.761963E+01 2.232375E-02 6.923376E-02 9.625910E-01 2.14716e-09 6.481469E+03
3.189304E-01 6.705811E+01 2.220876E-02 8.084857E-02 9.613179E-01 2.21706e-09 6.490894E+03
3.138742E-01 6.727783E+01 2.223730E-02 9.961755E-02 9.682342E-01 2.28839e-09 6.491663E+03
3.141572E-01 6.731201E+01 2.224503E-02 1.129115E-01 9.690336E-01 2.35217e-09 6.486417E+03
3.049723E-01 6.806396E+01 2.253060E-02 1.080192E-01 9.699783E-01 2.33548e-09 6.488578E+03
3.159486E-01 6.719971E+01 2.224232E-02 7.985252E-02 9.666005E-01 2.2199e-09 6.477698E+03
3.178573E-01 6.704346E+01 2.210815E-02 6.801878E-02 9.639469E-01 2.15682e-09 6.477968E+03
3.047738E-01 6.807861E+01 2.241773E-02 7.249257E-02 9.690887E-01 2.15881e-09 6.481385E+03
3.184495E-01 6.708740E+01 2.229038E-02 5.609868E-02 9.598756E-01 2.10628e-09 6.479255E+03
